EAN код;Гиперссылка;Артикул;Цена с НДС;Цена без НДС;Наличие товара;Время достваки;
3440890345022;https://shop-jd.ru/product/vanna-chugunnaia-170x80-jacob-delafon-adagio-e2910-00s-otverstiiami-dlia-ruchek/;E2910-00;46080.00;;10;3;
3440890597230;https://shop-jd.ru/product/vanna-chugunnaia-170x75-jacob-delafon-biove-e2938-00-s-otverstiiami-dlia-ruchek/;E2938-00;57600.00;;10;3;
3440890290322;https://shop-jd.ru/product/vanna-chugunnaia-170x75-jacob-delafon-diapason-e2937-00/;E2937-00;40320.00;;10;3;
3440890355687;https://shop-jd.ru/product/vanna-chugunnaia-170x75-jacob-delafon-diapason-e2926-00s-otverstiiami-dlia-ruchek/;E2926-00;40320.00;;0;3;
3440890353089;https://shop-jd.ru/product/vanna-chugunnaia-170x70-jacob-delafon-prelude-e2924-00s-otverstiiami-dlia-ruchek/;E2924-00;59650.00;;10;3;
3440890266914;https://shop-jd.ru/product/vanna-chugunnaia-150x70-jacob-delafon-prelude-e2944-00s-otverstiiami-dlia-ruchek/;E2944-00;59030.00;;10;3;
3440890361213;https://shop-jd.ru/product/vanna-chugunnaia-160x70-jacob-delafon-prelude-e2934-00-s-otverstiiami-dlia-ruchek/;E2934-00;61330.00;;10;3;
3440890346487;https://shop-jd.ru/product/vanna-chugunnaia-170x80-jacob-delafon-repos-e2915-00s-otverstiiami-dlia-ruchek/;E2915-00;46080.00;;10;3;
3440890344810;https://shop-jd.ru/product/vanna-chugunnaia-180x85-jacob-delafon-repos-e2904-00/;E2904-00;57600.00;;10;3;
3440890343448;https://shop-jd.ru/product/vanna-chugunnaia-180x85-jacob-delafon-repos-e2903-00s-otverstiiami-dlia-ruchek/;E2903-00;57600.00;;10;3;
